Coc/Region,County,District 1,District 3,District 4,District 5,District 7,District 8,District 9,District 10,District 11,District 13,with_hmis@ncceh_data
BoS Region 1,Cherokee,,,,,,,,,x,,TRUE
BoS Region 1,Clay,,,,,,,,,x,,TRUE
BoS Region 1,Graham,,,,,,,,,x,,TRUE
BoS Region 1,Haywood,,,,,,,,,x,,TRUE
BoS Region 1,Jackson,,,,,,,,,x,,TRUE
BoS Region 1,Macon,,,,,,,,,x,,TRUE
BoS Region 1,Madison,,,,,,,,,x,,TRUE
BoS Region 1,Swain,,,,,,,,,x,,TRUE
BoS Region 2,Henderson,,,,,,,,,x,,TRUE
BoS Region 2,Polk,,,,,,,,,x,,TRUE
BoS Region 2,Rutherford,,,,,,,,x,,,TRUE
BoS Region 2,Transylvania,,,,,,,,,x,,TRUE
BoS Region 3,Alexander,,,,,,,,x,,,TRUE
BoS Region 3,Burke,,,,,,,,x,,,TRUE
BoS Region 3,Caldwell,,,,x,,,,,,,TRUE
BoS Region 3,Catawba,,,,,,,,x,,,TRUE
BoS Region 3,McDowell,,,,,,,,,x,,TRUE
BoS Region 4,Davie,,,,x,,,,,,,TRUE
BoS Region 4,Iredell,,,,,,,,x,,,TRUE
BoS Region 4,Stokes,,,,x,,,,,,,TRUE
BoS Region 4,Surry,,,,x,,,,,,,TRUE
BoS Region 4,Yadkin,,,,x,,,,,,,TRUE
BoS Region 5,Cabarrus,,,,,,,,,,,TRUE
BoS Region 5,Davidson,,,,,,x,,,,,TRUE
BoS Region 5,Rowan,,,,,,x,,,,,TRUE
BoS Region 5,Stanly,,,,,,x,,,,,TRUE
BoS Region 5,Union,,,,,,x,,,,,TRUE
BoS Region 6,Alamance,,,x,,,,,,,,TRUE
BoS Region 6,Casewell,,,,,,,,,,,TRUE
BoS Region 6,Chatham,,,,,,,x,,,,TRUE
BoS Region 6,Person,,,x,,,,,,,,TRUE
BoS Region 6,Rockingham,,,,,,,,,,,TRUE
BoS Region 7,Anson,,,,,,x,,,,,TRUE
BoS Region 7,Harnett,,,,,,,,,,x,TRUE
BoS Region 7,Hoke,,,,,,,x,,,,TRUE
BoS Region 7,Johnston,,,,,,,,,,x,TRUE
BoS Region 7,Lee,,,,,,,x,,,,TRUE
BoS Region 7,Montgomery,,,,,,x,,,,,TRUE
BoS Region 7,Moore,,,,,,,x,,,,TRUE
BoS Region 7,Randolph,,,,,,,x,,,,TRUE
BoS Region 7,Richmond,,,,,,x,,,,,TRUE
BoS Region 8,Bladen,,,,,x,,,,,,TRUE
BoS Region 8,Columbus,,,,,x,,,,,,TRUE
BoS Region 8,Robeson,,,,,x,,,,,,TRUE
BoS Region 8,Scotland,,,,,,,x,,,,TRUE
BoS Region 9,Edgecombe,x,,,,,,,,,,TRUE
BoS Region 9,Franklin,x,,,,,,,,,,TRUE
BoS Region 9,Granville,,,x,,,,,,,,TRUE
BoS Region 9,Halifax,x,,,,,,,,,,TRUE
BoS Region 9,Nash,x,,,,,,,,,,TRUE
BoS Region 9,Northhampton,x,,,,,,,,,,TRUE
BoS Region 9,Vance,x,,,,,,,,,,TRUE
BoS Region 9,Warren,x,,,,,,,,,,TRUE
BoS Region 10,Duplin,,x,,,,,,,,,TRUE
BoS Region 10,Greene,x,,,,,,,,,,TRUE
BoS Region 10,Lenoir,,x,,,,,,,,,TRUE
BoS Region 10,Sampson,,x,,,,,,,,,TRUE
BoS Region 10,Wayne,,,,,,,,,,x,TRUE
BoS Region 10,Wilson,x,,,,,,,,,,TRUE
BoS Region 11,Camden,,x,,,,,,,,,TRUE
BoS Region 11,Chowan,x,,,,,,,,,,TRUE
BoS Region 11,Currituck,,x,,,,,,,,,TRUE
BoS Region 11,Dare,,x,,,,,,,,,TRUE
BoS Region 11,Gates,x,,,,,,,,,,TRUE
BoS Region 11,Hertford,x,,,,,,,,,,TRUE
BoS Region 11,Hyde,,x,,,,,,,,,TRUE
BoS Region 11,Pasquotank,x,,,,,,,,,,TRUE
BoS Region 11,Perquimans,x,,,,,,,,,,TRUE
BoS Region 11,Tyrrell,x,,,,,,,,,,TRUE
BoS Region 12,Beaufort,,x,,,,,,,,,TRUE
BoS Region 12,Bertie,x,,,,,,,,,,TRUE
BoS Region 12,Martin ,x,,,,,,,,,,TRUE
BoS Region 12,Pitt,x,,,,,,,,,,TRUE
BoS Region 12,Washington,x,,,,,,,,,,TRUE
BoS Region 13,Carteret,,x,,,,,,,,,TRUE
BoS Region 13,Craven,,x,,,,,,,,,TRUE
BoS Region 13,Jones,,x,,,,,,,,,TRUE
BoS Region 13,Onslow,,x,,,,,,,,,TRUE
BoS Region 13,Pamlico,,x,,,,,,,,,TRUE
Orange CoC,Durham,,,x,,,,,,,,TRUE
Durham CoC,Orange,,,x,,,,,,,,TRUE
