ZIP	City	County	Type
27006	Advance	Davie	Standard
27007	Ararat	Surry	Standard
27009	Belews Creek	Forsyth	Standard
27010	Bethania	Forsyth	P.O. Box
27011	Boonville	Yadkin	Standard
27012	Clemmons	Forsyth	Standard
27013	Cleveland	Rowan	Standard
27014	Cooleemee	Davie	P.O. Box
27016	Danbury	Stokes	Standard
27017	Dobson	Surry	Standard
27018	East Bend	Yadkin	Standard
27019	Germanton	Stokes	Standard
27020	Hamptonville	Yadkin	Standard
27021	King	Stokes	Standard
27022	Lawsonville	Stokes	Standard
27023	Lewisville	Forsyth	Standard
27024	Lowgap	Surry	Standard
27025	Madison	Rockingham	Standard
27027	Mayodan	Rockingham	Standard
27028	Mocksville	Davie	Standard
27030	Mount Airy	Surry	Standard
27031	Mount Airy	Surry	P.O. Box
27040	Pfafftown	Forsyth	Standard
27041	Pilot Mountain	Surry	Standard
27042	Pine Hall	Stokes	Standard
27043	Pinnacle	Stokes	Standard
27045	Rural Hall	Forsyth	Standard
27046	Sandy Ridge	Stokes	Standard
27047	Siloam	Surry	Standard
27048	Stoneville	Rockingham	Standard
27049	Toast	Surry	P.O. Box
27050	Tobaccoville	Forsyth	Standard
27051	Walkertown	Forsyth	Standard
27052	Walnut Cove	Stokes	Standard
27053	Westfield	Surry	Standard
27054	Woodleaf	Rowan	Standard
27055	Yadkinville	Yadkin	Standard
27094	Rural Hall	Forsyth	Unique
27098	Rural Hall	Forsyth	Unique
27099	Rural Hall	Forsyth	Unique
27101	Winston Salem	Forsyth	Standard
27102	Winston Salem	Forsyth	P.O. Box
27103	Winston Salem	Forsyth	Standard
27104	Winston Salem	Forsyth	Standard
27105	Winston Salem	Forsyth	Standard
27106	Winston Salem	Forsyth	Standard
27107	Winston Salem	Forsyth	Standard
27108	Winston Salem	Forsyth	P.O. Box
27109	Winston Salem	Forsyth	Standard
27110	Winston Salem	Forsyth	Unique
27111	Winston Salem	Forsyth	Unique
27113	Winston Salem	Forsyth	P.O. Box
27114	Winston Salem	Forsyth	P.O. Box
27115	Winston Salem	Forsyth	P.O. Box
27116	Winston Salem	Forsyth	P.O. Box
27117	Winston Salem	Forsyth	P.O. Box
27120	Winston Salem	Forsyth	P.O. Box
27127	Winston Salem	Forsyth	Standard
27130	Winston Salem	Forsyth	P.O. Box
27150	Winston Salem	Forsyth	Unique
27152	Winston Salem	Forsyth	Unique
27155	Winston Salem	Forsyth	Unique
27157	Winston Salem	Forsyth	Unique
27198	Winston Salem	Forsyth	Unique
27199	Winston Salem	Forsyth	Unique
27201	Alamance	Alamance	P.O. Box
27202	Altamahaw	Alamance	P.O. Box
27203	Asheboro	Randolph	Standard
27204	Asheboro	Randolph	P.O. Box
27205	Asheboro	Randolph	Standard
27207	Bear Creek	Chatham	Standard
27208	Bennett	Chatham	Standard
27209	Biscoe	Montgomery	Standard
27212	Blanch	Caswell	Standard
27213	Bonlee	Chatham	P.O. Box
27214	Browns Summit	Guilford	Standard
27215	Burlington	Alamance	Standard
27216	Burlington	Alamance	P.O. Box
27217	Burlington	Alamance	Standard
27228	Bynum	Chatham	P.O. Box
27229	Candor	Montgomery	Standard
27230	Cedar Falls	Randolph	P.O. Box
27231	Cedar Grove	Orange	Standard
27233	Climax	Guilford	Standard
27235	Colfax	Guilford	Standard
27237	Cumnock	Lee	P.O. Box
27239	Denton	Davidson	Standard
27242	Eagle Springs	Moore	Standard
27243	Efland	Orange	Standard
27244	Elon	Alamance	Standard
27247	Ether	Montgomery	P.O. Box
27248	Franklinville	Randolph	Standard
27249	Gibsonville	Guilford	Standard
27252	Goldston	Chatham	Standard
27253	Graham	Alamance	Standard
27256	Gulf	Chatham	P.O. Box
27258	Haw River	Alamance	Standard
27259	Highfalls	Moore	P.O. Box
27260	High Point	Guilford	Standard
27261	High Point	Guilford	P.O. Box
27262	High Point	Guilford	Standard
27263	High Point	Guilford	Standard
27264	High Point	Guilford	P.O. Box
27265	High Point	Guilford	Standard
27268	High Point	Guilford	Unique
27278	Hillsborough	Orange	Standard
27281	Jackson Springs	Moore	Standard
27282	Jamestown	Guilford	Standard
27283	Julian	Guilford	Standard
27284	Kernersville	Forsyth	Standard
27285	Kernersville	Forsyth	P.O. Box
27288	Eden	Rockingham	Standard
27289	Eden	Rockingham	P.O. Box
27291	Leasburg	Caswell	Standard
27292	Lexington	Davidson	Standard
27293	Lexington	Davidson	P.O. Box
27294	Lexington	Davidson	Unique
27295	Lexington	Davidson	Standard
27298	Liberty	Randolph	Standard
27299	Linwood	Davidson	Standard
27301	Mc Leansville	Guilford	Standard
27302	Mebane	Alamance	Standard
27305	Milton	Caswell	Standard
27306	Mount Gilead	Montgomery	Standard
27310	Oak Ridge	Guilford	Standard
27311	Pelham	Caswell	Standard
27312	Pittsboro	Chatham	Standard
27313	Pleasant Garden	Guilford	Standard
27314	Prospect Hill	Caswell	Standard
27315	Providence	Caswell	Standard
27316	Ramseur	Randolph	Standard
27317	Randleman	Randolph	Standard
27320	Reidsville	Rockingham	Standard
27323	Reidsville	Rockingham	P.O. Box
27325	Robbins	Moore	Standard
27326	Ruffin	Rockingham	Standard
27330	Sanford	Lee	Standard
27331	Sanford	Lee	P.O. Box
27332	Sanford	Lee	Standard
27340	Saxapahaw	Alamance	P.O. Box
27341	Seagrove	Randolph	Standard
27342	Sedalia	Guilford	P.O. Box
27343	Semora	Person	Standard
27344	Siler City	Chatham	Standard
27349	Snow Camp	Alamance	Standard
27350	Sophia	Randolph	Standard
27351	Southmont	Davidson	P.O. Box
27355	Staley	Randolph	Standard
27356	Star	Montgomery	Standard
27357	Stokesdale	Guilford	Standard
27358	Summerfield	Guilford	Standard
27359	Swepsonville	Alamance	P.O. Box
27360	Thomasville	Davidson	Standard
27361	Thomasville	Davidson	P.O. Box
27370	Trinity	Randolph	Standard
27371	Troy	Montgomery	Standard
27373	Wallburg	Davidson	P.O. Box
27374	Welcome	Davidson	P.O. Box
27375	Wentworth	Rockingham	P.O. Box
27376	West End	Moore	Standard
27377	Whitsett	Guilford	Standard
27379	Yanceyville	Caswell	Standard
27401	Greensboro	Guilford	Standard
27402	Greensboro	Guilford	P.O. Box
27403	Greensboro	Guilford	Standard
27404	Greensboro	Guilford	P.O. Box
27405	Greensboro	Guilford	Standard
27406	Greensboro	Guilford	Standard
27407	Greensboro	Guilford	Standard
27408	Greensboro	Guilford	Standard
27409	Greensboro	Guilford	Standard
27410	Greensboro	Guilford	Standard
27411	Greensboro	Guilford	Unique
27412	Greensboro	Guilford	Unique
27413	Greensboro	Guilford	Unique
27415	Greensboro	Guilford	P.O. Box
27416	Greensboro	Guilford	P.O. Box
27417	Greensboro	Guilford	P.O. Box
27419	Greensboro	Guilford	P.O. Box
27420	Greensboro	Guilford	P.O. Box
27425	Greensboro	Guilford	P.O. Box
27427	Greensboro	Guilford	P.O. Box
27429	Greensboro	Guilford	P.O. Box
27435	Greensboro	Guilford	P.O. Box
27438	Greensboro	Guilford	P.O. Box
27455	Greensboro	Guilford	Standard
27495	Greensboro	Guilford	Standard
27497	Greensboro	Guilford	Unique
27498	Greensboro	Guilford	Unique
27499	Greensboro	Guilford	Unique
27501	Angier	Harnett	Standard
27502	Apex	Wake	Standard
27503	Bahama	Durham	Standard
27504	Benson	Johnston	Standard
27505	Broadway	Lee	Standard
27506	Buies Creek	Harnett	P.O. Box
27507	Bullock	Granville	Standard
27508	Bunn	Franklin	Standard
27509	Butner	Granville	Standard
27510	Carrboro	Orange	Standard
27511	Cary	Wake	Standard
27512	Cary	Wake	P.O. Box
27513	Cary	Wake	Standard
27514	Chapel Hill	Orange	Standard
27515	Chapel Hill	Orange	P.O. Box
27516	Chapel Hill	Orange	Standard
27517	Chapel Hill	Orange	Standard
27518	Cary	Wake	Standard
27519	Cary	Wake	Standard
27520	Clayton	Johnston	Standard
27521	Coats	Harnett	Standard
27522	Creedmoor	Granville	Standard
27523	Apex	Wake	Standard
27524	Four Oaks	Johnston	Standard
27525	Franklinton	Franklin	Standard
27526	Fuquay Varina	Wake	Standard
27527	Clayton	Johnston	Standard
27528	Clayton	Johnston	Standard
27529	Garner	Wake	Standard
27530	Goldsboro	Wayne	Standard
27531	Goldsboro	Wayne	Standard
27532	Goldsboro	Wayne	P.O. Box
27533	Goldsboro	Wayne	P.O. Box
27534	Goldsboro	Wayne	Standard
27536	Henderson	Vance	Standard
27537	Henderson	Vance	Standard
27539	Apex	Wake	Standard
27540	Holly Springs	Wake	Standard
27541	Hurdle Mills	Person	Standard
27542	Kenly	Johnston	Standard
27543	Kipling	Harnett	P.O. Box
27544	Kittrell	Vance	Standard
27545	Knightdale	Wake	Standard
27546	Lillington	Harnett	Standard
27549	Louisburg	Franklin	Standard
27551	Macon	Warren	Standard
27552	Mamers	Harnett	P.O. Box
27553	Manson	Vance	Standard
27555	Micro	Johnston	P.O. Box
27556	Middleburg	Vance	P.O. Box
27557	Middlesex	Nash	Standard
27559	Moncure	Chatham	Standard
27560	Morrisville	Wake	Standard
27562	New Hill	Wake	Standard
27563	Norlina	Warren	Standard
27565	Oxford	Granville	Standard
27568	Pine Level	Johnston	P.O. Box
27569	Princeton	Johnston	Standard
27570	Ridgeway	Warren	P.O. Box
27571	Rolesville	Wake	Standard
27572	Rougemont	Durham	Standard
27573	Roxboro	Person	Standard
27574	Roxboro	Person	Standard
27576	Selma	Johnston	Standard
27577	Smithfield	Johnston	Standard
27581	Stem	Granville	Standard
27582	Stovall	Granville	P.O. Box
27583	Timberlake	Person	Standard
27584	Townsville	Vance	P.O. Box
27586	Vaughan	Warren	P.O. Box
27587	Wake Forest	Wake	Standard
27588	Wake Forest	Wake	P.O. Box
27589	Warrenton	Warren	Standard
27591	Wendell	Wake	Standard
27592	Willow Spring	Wake	Standard
